@letter,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
L,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
N,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5
U,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
Z,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
I,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8
H,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8
H,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6
V,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8
Q,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8
P,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9
D,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8
S,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8
S,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8
L,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7
P,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7
Q,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9
S,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8
T,2,3,4,4,1,8,14,1,6,6,11,8,0,8,0,8
V,5,8,5,6,3,4,11,2,3,8,10,7,3,12,1,7
L,4,8,4,6,1,0,0,6,6,0,1,4,0,8,0,8
U,9,15,8,8,5,5,5,4,4,7,8,10,7,5,3,9
K,6,9,9,6,6,5,7,1,7,10,8,10,3,8,4,7
W,7,9,10,8,11,6,6,6,5,5,5,8,11,11,9,12
Z,5,10,7,8,5,7,8,2,9,12,7,8,1,9,6,7
Y,9,9,8,13,5,9,10,2,4,5,11,5,4,10,7,8
E,7,12,5,6,4,8,7,4,4,11,5,9,3,9,8,11
U,6,9,6,5,3,7,5,5,5,7,8,8,5,7,2,8
B,2,3,2,2,2,7,7,5,5,6,6,5,2,8,6,8
H,5,10,8,8,7,7,8,7,7,7,5,9,3,8,3,8
V,8,11,7,8,5,4,11,1,3,8,10,8,5,12,1,7
P,5,11,8,8,6,7,11,7,3,10,5,3,3,11,4,8
I,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
R,3,8,4,6,2,5,11,8,4,7,4,9,3,7,6,11
A,3,5,5,5,4,9,8,3,4,6,8,7,4,10,4,5
E,6,11,9,9,7,6,8,2,8,10,7,9,3,8,5,7
L,4,9,5,7,1,0,0,6,6,0,1,5,0,8,0,8
Z,9,11,6,15,6,5,11,3,3,12,8,6,3,9,11,5
J,1,5,2,3,1,10,6,2,6,11,3,8,0,7,1,7
J,3,5,4,7,1,12,2,9,4,14,5,13,1,6,0,8
B,2,2,3,3,2,7,7,5,5,6,6,6,2,8,5,9
C,2,4,3,3,2,6,8,7,8,8,7,13,1,9,4,10
L,5,10,7,8,5,5,5,1,9,6,2,10,3,7,4,5
Y,4,10,6,7,1,6,10,3,2,8,13,8,1,11,0,8
P,4,8,6,12,10,8,9,5,0,8,6,7,5,11,6,6
S,6,10,7,8,4,6,8,4,8,11,8,7,2,8,5,5
S,2,6,3,4,3,7,6,7,5,7,7,8,2,9,8,7
Q,2,3,3,3,2,8,7,6,3,6,6,9,2,8,5,9
O,4,6,6,5,4,6,6,5,5,8,4,8,3,7,5,6
O,2,4,3,2,1,8,7,7,5,7,6,8,2,8,3,8
P,3,3,5,2,2,7,10,3,4,12,4,3,1,9,3,8
D,3,6,3,4,3,5,7,8,6,7,7,6,2,8,3,8
I,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
F,6,7,8,8,8,7,9,4,5,7,7,6,5,9,9,9
M,1,0,2,0,1,7,6,9,0,7,8,8,5,6,0,8
A,3,3,5,4,1,8,6,3,1,7,1,8,2,7,1,8
G,1,0,2,0,1,8,6,5,5,6,5,9,1,8,5,10
I,7,12,5,6,2,10,5,6,4,13,3,8,3,8,5,10
R,3,9,4,6,4,6,8,8,4,7,5,8,2,7,5,11
V,4,9,6,7,2,7,8,4,3,7,14,8,3,9,0,8
Q,4,6,5,8,5,7,9,5,3,8,9,9,4,10,6,7
I,1,3,2,2,0,7,8,1,6,13,6,7,0,8,0,7
J,3,9,4,7,3,10,6,0,8,11,3,6,0,7,1,7
A,2,6,4,4,1,8,5,3,1,7,1,8,2,7,2,8
P,5,7,6,5,5,6,9,6,4,8,7,9,2,9,7,10
R,4,5,7,4,6,7,7,3,4,7,5,8,6,9,5,7
U,6,7,7,5,4,4,8,5,7,9,8,9,3,9,3,5
Z,2,4,4,2,2,7,7,2,9,12,6,8,1,8,5,8
I,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,8
T,3,4,4,3,2,5,12,3,7,11,9,4,1,11,2,5
A,5,8,8,7,7,8,7,2,5,7,8,8,5,10,3,6
D,5,8,8,6,6,8,8,5,6,10,6,5,5,9,4,10
Y,5,8,5,6,2,3,13,4,6,13,11,4,1,11,2,5
X,4,11,6,8,6,6,7,2,7,7,7,10,6,5,8,7
C,4,7,5,5,2,4,9,6,8,12,10,12,1,9,3,7
S,6,9,8,7,5,6,7,4,7,10,10,9,2,9,5,5
K,3,6,5,4,5,6,7,3,6,6,5,8,3,8,4,9
J,2,8,3,6,2,9,6,3,6,11,4,9,1,6,2,6
B,4,8,6,6,6,7,8,6,4,7,5,6,4,7,6,6
Z,4,8,5,6,3,7,7,3,12,9,6,8,0,8,8,8
T,5,10,6,8,4,7,9,0,8,11,9,6,1,10,3,4
I,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
V,7,12,7,6,4,9,8,4,5,8,8,5,6,10,3,6
A,4,6,6,5,5,8,8,3,5,7,8,7,5,10,4,6
T,5,10,6,8,4,5,11,1,9,8,11,9,1,10,1,7
X,3,3,4,4,1,7,7,4,4,7,6,8,3,8,4,8
F,5,8,7,6,4,7,9,3,6,13,6,5,2,9,3,7
A,3,8,5,5,2,7,5,3,1,6,1,8,2,7,2,7
J,6,7,8,9,7,8,8,4,6,7,6,7,4,8,8,8
E,3,9,4,6,2,3,7,6,11,7,6,15,0,8,7,7
C,4,9,6,7,4,5,8,6,6,8,8,15,3,10,4,9
Z,5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8
H,5,9,7,6,4,7,6,3,7,10,8,9,3,8,3,7
D,2,3,4,2,2,9,6,4,6,10,4,6,2,8,3,8
D,5,10,6,8,6,7,7,7,7,7,6,5,3,8,3,7
V,6,10,5,5,2,8,10,6,3,7,9,5,6,13,3,7
G,5,11,6,8,8,8,4,4,3,7,5,11,6,8,6,13
T,4,6,5,4,4,7,7,7,7,7,6,8,3,10,6,8
A,5,12,5,6,3,14,0,4,2,12,3,11,2,4,2,10
N,4,7,5,5,4,6,7,8,5,7,5,7,3,7,3,8
W,6,10,6,8,6,2,11,2,2,10,9,7,6,11,2,6
X,3,11,4,8,4,7,7,4,4,7,6,8,3,8,4,8
L,2,6,2,4,1,0,2,5,6,0,0,7,0,8,0,8
Y,4,8,4,6,2,3,12,4,5,12,12,6,1,11,2,6
U,5,4,6,3,2,4,8,5,8,10,9,9,3,9,2,6
J,3,9,4,7,1,12,2,10,4,14,5,13,1,6,0,8
W,4,2,6,4,4,9,11,2,2,5,9,7,9,11,2,7
U,2,3,3,2,1,5,8,4,5,10,8,9,3,10,1,7
M,1,0,2,0,1,7,6,9,0,7,8,8,6,6,0,8
Y,3,5,5,8,1,6,10,2,2,7,13,8,2,11,0,8
U,5,8,5,6,2,7,4,14,5,7,14,8,3,9,0,8
W,8,10,9,8,6,1,10,3,3,11,11,9,7,10,1,7
K,4,5,5,4,3,5,7,4,8,7,6,10,6,8,5,9
H,4,4,4,5,2,7,6,15,1,7,8,8,3,8,0,8
R,3,5,4,4,3,7,7,4,5,6,5,6,3,7,4,8
U,4,6,4,4,3,7,5,12,4,7,12,8,3,9,0,8
Z,2,3,3,2,2,7,7,5,9,6,6,8,1,8,7,8
B,4,9,6,6,5,9,6,4,6,10,5,7,3,7,6,9
W,4,8,7,6,4,7,10,2,3,7,9,8,8,11,1,8
D,6,5,6,8,3,5,7,10,9,7,6,5,3,8,4,8
N,7,10,10,7,4,6,8,3,5,10,8,8,6,7,1,7
U,5,6,5,4,4,5,8,5,6,9,7,10,3,9,3,6
S,6,9,8,8,9,8,8,4,5,7,7,7,5,10,10,10
N,6,9,9,8,8,7,9,4,4,7,4,7,9,7,6,6
H,3,5,4,3,3,8,7,6,6,7,6,6,3,8,3,6
A,5,6,7,5,5,8,8,3,4,7,8,8,5,9,3,6
J,3,10,5,8,5,8,7,2,5,11,5,9,5,6,3,4
I,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
N,3,7,5,5,3,4,10,3,3,10,10,9,5,8,1,7
E,2,0,2,1,1,5,7,5,8,7,6,12,0,8,7,9
B,4,6,5,4,3,8,8,4,6,9,6,5,2,8,7,7
A,2,6,4,4,1,7,5,3,1,6,0,8,2,7,1,7
I,1,11,0,8,1,7,7,5,3,7,6,8,0,8,0,8
Q,7,12,6,6,4,10,5,4,7,11,4,8,3,8,8,11
X,3,9,5,6,4,7,7,3,8,5,6,8,2,8,6,8
Y,3,9,5,6,1,6,12,2,3,9,12,8,1,10,0,8
V,4,4,6,6,1,10,8,5,3,5,14,8,3,9,0,8
S,4,6,5,4,2,8,8,4,8,11,8,7,2,10,5,6
X,5,11,8,8,7,7,7,3,8,5,7,10,3,8,6,8
J,4,8,5,6,3,7,5,5,4,14,8,14,1,6,1,7
Z,5,8,7,6,5,8,7,2,9,12,6,7,1,7,6,7
R,3,9,4,7,4,6,9,8,3,7,5,8,2,7,5,11
C,6,12,5,6,4,8,6,4,3,9,8,11,4,9,7,11
O,6,7,8,6,6,7,5,4,5,8,5,11,5,6,7,6
V,4,4,5,3,1,4,12,4,4,11,11,6,2,10,1,8
R,4,7,7,6,6,7,7,3,3,7,5,8,6,8,5,7
L,2,4,3,3,1,5,4,4,7,2,2,5,1,7,1,6
P,7,14,7,8,5,8,9,4,4,12,5,4,4,11,6,6
F,2,3,3,4,1,1,14,4,3,12,9,5,0,8,2,6
X,2,7,4,5,2,7,7,4,8,6,6,8,3,8,6,8
S,3,7,4,5,2,7,8,4,8,11,8,8,2,10,5,7
Q,4,9,5,10,7,8,6,8,3,6,5,9,3,8,6,10
Z,2,2,3,3,2,7,7,5,9,6,6,8,2,8,7,8
K,4,8,4,6,2,3,6,8,3,7,7,11,4,8,3,10
T,4,10,6,7,5,9,11,3,7,5,11,8,2,12,1,8
S,5,10,6,7,4,6,8,5,8,11,10,7,2,10,5,5
W,4,7,6,5,4,7,8,4,0,6,9,8,7,12,0,8
E,6,9,8,7,7,8,5,7,3,8,6,11,5,8,8,10
I,5,8,6,9,6,7,8,5,6,7,7,7,3,9,9,9
T,3,10,5,7,1,8,14,0,6,6,11,8,0,8,0,8
Q,4,7,6,7,3,8,9,8,5,6,7,9,3,8,5,9
D,2,3,3,1,2,7,7,6,6,7,6,5,2,8,3,7
C,2,3,2,2,1,4,8,4,6,11,10,11,1,9,2,7
T,5,5,5,4,2,5,12,2,7,11,9,4,1,11,2,4
X,6,10,7,5,3,5,9,2,8,11,8,8,4,9,3,6
E,3,8,3,6,2,3,7,6,9,7,6,14,0,8,7,8
Q,7,9,8,11,7,8,7,6,3,8,7,11,5,8,8,6
M,6,8,9,6,7,8,7,2,5,9,6,8,9,6,2,8
G,3,7,4,5,2,8,7,8,8,6,6,11,1,8,5,10
E,2,1,3,2,2,7,7,5,7,7,6,8,2,8,5,10
O,3,5,4,7,2,7,7,9,6,7,6,8,3,8,4,8
T,3,6,4,4,3,6,7,7,6,7,6,7,3,9,5,9
F,3,3,4,4,1,1,15,5,3,12,9,4,0,8,2,6
U,5,10,7,7,7,8,9,7,6,6,8,9,6,7,4,8
H,7,9,10,7,8,10,6,3,6,10,3,8,5,7,5,9
H,5,11,5,8,5,7,8,14,1,7,5,8,3,8,0,8
G,3,7,5,5,5,8,5,4,3,7,6,10,6,8,4,10
U,6,10,6,5,4,8,5,5,5,6,8,7,4,9,3,7
I,1,3,1,2,1,7,7,1,7,7,6,8,0,8,2,8
T,7,10,9,8,7,6,7,7,8,7,8,9,4,10,7,7
S,5,7,6,5,3,6,9,3,8,11,5,7,2,6,5,8
T,5,8,7,6,7,7,8,4,6,7,6,9,5,8,5,7
Y,3,8,6,6,3,9,10,1,6,4,11,8,1,11,2,9
S,4,9,5,7,3,8,8,6,9,5,6,6,0,8,9,7
Z,5,8,7,6,4,7,8,2,10,12,7,9,1,9,6,8
G,6,9,8,7,10,8,7,4,3,6,5,9,8,7,9,13
N,5,7,8,5,3,7,8,3,5,10,6,7,6,8,1,7
U,4,5,4,4,2,4,8,5,7,10,9,9,3,9,2,6
I,1,6,2,4,1,7,7,0,7,14,6,8,0,8,1,8
V,3,4,5,6,1,9,8,4,3,6,14,8,3,10,0,8
H,3,7,4,5,2,7,8,14,1,7,6,8,3,8,0,8
J,4,9,6,7,3,7,7,3,6,15,6,11,1,6,1,7
X,6,9,9,7,5,4,8,2,8,10,12,11,3,8,3,5
X,2,0,2,1,0,7,7,6,2,7,6,8,3,8,3,8
J,3,6,5,4,2,7,6,3,6,15,6,11,1,6,0,8
X,3,6,5,4,4,8,6,2,5,6,6,7,2,9,8,9
X,5,8,7,6,3,8,7,2,8,10,4,7,3,8,4,8
W,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6
Y,3,2,5,4,2,6,10,1,8,8,12,8,1,11,3,7
S,4,6,5,4,3,7,8,3,7,10,4,7,2,6,4,8
K,5,9,6,5,3,3,9,3,6,9,8,11,4,7,3,6
Z,3,5,3,3,2,8,7,5,10,6,6,7,2,8,7,8
A,3,7,5,5,3,10,2,2,2,9,2,8,2,6,4,8
C,7,11,8,8,4,2,10,5,8,11,11,11,1,8,2,6
K,4,8,6,6,4,4,7,6,7,6,6,13,4,7,6,10
P,3,2,3,3,2,5,11,5,4,10,7,2,1,10,4,6
P,4,5,6,7,7,6,8,5,3,7,7,6,7,12,6,9
I,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
X,4,6,5,4,3,7,8,1,8,10,7,8,3,8,3,7
V,2,7,4,5,1,9,8,4,2,6,13,8,3,10,0,8
P,4,9,5,6,3,5,10,10,5,9,6,5,2,10,4,8
M,3,7,5,5,5,9,6,6,4,6,7,6,7,5,2,6
T,1,0,1,0,0,7,14,1,4,7,10,8,0,8,0,8
U,5,7,5,5,3,3,9,5,6,11,11,9,3,9,1,6
W,10,11,10,8,8,2,11,2,3,10,11,9,7,10,2,6
R,5,8,7,6,5,10,6,3,5,10,3,7,3,7,4,10
V,7,11,6,6,3,9,8,6,4,7,10,7,7,12,3,8
Q,4,5,5,7,5,9,11,6,2,3,7,12,3,10,5,10
G,7,11,7,8,5,7,6,7,7,10,7,13,3,8,5,7
A,3,9,5,7,4,12,2,3,3,10,2,9,3,8,4,9
V,8,10,8,8,4,2,13,5,4,11,12,7,3,9,2,7
H,5,7,8,5,4,8,7,3,6,10,4,7,3,8,3,8
M,4,7,5,5,6,7,7,7,4,6,5,8,6,9,7,8
K,3,4,6,3,3,7,7,1,6,10,5,9,4,7,4,8
N,1,3,3,2,1,6,8,3,3,10,7,8,4,8,0,7
T,2,4,3,5,1,5,14,1,6,9,11,7,0,8,0,8
E,4,6,6,4,5,7,9,5,3,6,6,8,4,8,6,7
T,4,10,6,8,5,6,7,8,7,8,8,7,3,10,6,10
O,4,9,3,5,3,6,8,6,4,9,7,9,5,9,4,8
W,6,6,6,4,4,2,11,2,2,10,10,8,6,11,1,7
A,3,8,5,5,2,9,6,3,1,8,0,8,2,7,1,8
Y,3,5,4,4,2,4,11,2,7,11,10,6,1,11,2,5
M,4,4,7,3,4,7,5,3,4,10,8,9,7,5,2,8
M,7,9,10,7,7,3,7,4,5,10,11,11,10,6,4,7
O,2,1,3,2,1,7,7,7,6,7,6,8,2,8,3,8
T,3,9,5,6,3,7,12,2,8,7,12,8,1,11,1,8
V,6,10,6,7,4,4,12,1,2,8,10,7,6,12,2,7
H,5,7,7,5,4,5,8,4,6,10,9,9,3,8,3,7
F,3,2,4,3,2,6,10,4,5,10,9,4,2,10,3,6
X,5,5,6,7,2,7,7,5,4,7,6,8,3,8,4,8
B,7,10,6,6,4,8,5,4,5,10,6,9,5,7,7,10
A,5,11,9,8,7,10,5,1,5,9,1,5,3,7,4,8
M,3,3,5,2,3,8,6,6,4,7,7,8,7,5,2,7
A,2,8,4,6,3,11,3,3,3,10,2,9,2,6,3,8
O,9,15,6,9,5,4,8,6,4,10,8,9,5,10,5,8
I,2,6,3,4,1,7,7,0,7,13,6,8,0,8,1,8
S,4,8,4,6,4,8,8,5,7,5,5,7,0,8,8,8
T,4,6,6,6,5,5,8,4,8,8,8,9,3,9,7,6
S,5,11,6,8,5,7,8,3,7,10,4,6,2,6,5,8
T,2,8,3,5,1,8,13,0,6,6,11,8,0,8,0,8
E,4,10,5,8,7,8,7,3,5,6,7,10,4,9,8,8
Q,3,5,4,6,4,8,7,5,2,8,7,10,3,9,5,8
S,3,4,5,3,2,9,6,3,8,11,4,7,1,9,4,9
U,5,11,5,8,4,7,5,12,4,7,13,8,3,9,0,7
D,3,5,5,4,3,9,6,4,7,9,4,6,2,8,3,8
C,6,10,6,8,4,4,7,6,6,13,10,12,2,11,3,7
U,6,7,7,5,4,3,8,5,7,10,9,10,3,9,2,5
X,4,5,6,3,3,7,7,1,9,10,6,8,2,8,3,7
T,4,8,5,6,3,7,10,1,8,11,9,5,1,10,3,5
P,7,12,6,6,3,8,9,7,5,14,4,4,4,10,4,7
C,4,7,5,5,2,6,8,6,10,6,7,12,1,7,4,8
M,3,4,6,3,3,7,6,3,4,9,7,8,7,5,1,8
E,2,4,4,3,2,7,7,2,7,11,6,8,2,8,5,9
K,7,9,7,5,4,6,8,2,6,10,4,9,5,6,3,8
T,2,4,3,5,1,7,14,0,6,7,11,8,0,8,0,8
U,4,5,5,4,2,4,8,5,7,10,9,9,3,9,2,5
K,1,1,2,1,1,6,7,4,7,6,6,10,3,8,4,9
X,2,3,3,4,1,7,7,4,4,7,6,8,3,8,4,8
S,4,5,6,4,5,10,8,5,5,6,8,9,4,11,6,10
D,3,6,5,4,3,7,7,7,8,6,5,4,3,8,3,7
M,7,10,9,8,9,9,7,6,5,6,7,6,11,8,4,5
H,6,10,6,8,5,7,6,14,2,7,8,8,3,8,0,8
Z,3,7,5,5,3,8,7,2,9,11,5,10,1,9,6,10
S,1,0,1,0,0,8,7,3,5,5,6,7,0,8,6,8
H,1,0,2,0,0,7,8,11,1,7,6,8,2,8,0,8
R,4,9,6,6,6,6,7,3,5,6,5,9,6,10,7,5
K,2,3,3,2,1,6,7,2,6,10,7,10,3,8,2,8
P,4,6,6,4,3,7,10,4,4,12,5,3,1,10,2,8
S,3,9,4,7,4,7,7,7,5,7,7,9,2,9,8,8
F,2,5,4,4,1,5,13,3,5,13,7,3,0,9,2,6
X,3,3,4,4,1,7,7,4,4,7,6,8,3,8,4,8
X,4,7,6,5,3,7,8,1,8,10,7,8,2,8,3,7
N,2,1,3,2,2,7,9,6,5,8,7,6,5,9,1,6
X,6,10,9,7,5,7,8,1,9,10,6,8,3,8,4,7
D,3,9,5,7,8,10,7,5,5,7,5,6,4,6,10,6
P,2,3,4,1,1,8,9,3,4,12,4,3,1,9,2,9
N,5,8,7,7,7,8,8,5,5,8,5,6,6,10,7,2
S,2,4,3,3,1,9,7,3,6,10,6,7,1,9,5,8
X,3,6,4,4,2,7,7,4,4,7,6,7,3,8,4,8
Q,4,10,5,9,3,8,7,8,6,6,7,8,3,8,6,9
I,3,8,4,6,2,7,9,0,8,14,6,6,0,9,1,7
P,4,7,5,5,3,5,12,5,5,11,9,3,0,9,4,6
U,7,8,7,6,5,4,8,5,7,9,8,9,5,9,4,4
Y,5,5,6,7,6,9,11,5,4,6,7,7,5,10,7,5
P,2,6,3,4,2,3,14,6,2,12,7,3,0,9,3,8
K,10,15,10,8,6,5,8,3,6,10,9,10,6,9,4,7
L,2,6,3,4,2,5,4,3,7,6,2,8,1,6,2,7
H,3,7,5,5,4,8,7,6,6,7,6,6,3,8,3,7
V,4,10,6,8,4,8,11,2,3,4,10,9,3,11,1,8
W,11,13,11,7,5,10,11,6,3,4,10,7,10,12,1,6
H,7,11,9,8,8,8,7,2,6,10,5,8,4,9,4,8
L,1,0,1,0,0,2,1,5,4,1,2,5,0,8,0,8
O,1,3,2,2,1,8,7,5,3,9,6,8,2,8,2,8
S,7,11,6,6,3,7,8,3,5,13,7,8,2,8,3,7
W,2,0,2,0,1,7,8,4,0,7,8,8,6,9,0,8
B,3,8,3,6,4,6,6,8,6,7,7,7,2,9,6,9
F,2,3,4,2,1,6,10,3,5,13,7,5,1,9,1,7
Q,7,15,7,8,5,11,4,4,6,12,3,7,3,9,7,12
O,2,0,2,1,1,8,7,7,6,7,6,8,2,8,3,8
V,5,9,7,7,3,9,12,3,4,4,11,9,3,10,1,8
C,5,10,4,5,3,8,5,5,3,9,9,11,4,9,7,11
G,3,6,5,4,2,8,6,7,8,6,5,10,2,8,5,10
Q,4,7,6,9,6,9,7,7,2,5,7,10,3,8,6,10
H,6,11,6,8,6,8,5,14,2,7,9,8,3,9,0,8
P,3,8,5,6,3,4,12,4,6,11,9,3,0,9,4,6
B,4,4,5,6,4,6,7,9,7,7,6,7,2,8,9,9
L,2,7,2,5,1,0,1,5,6,0,0,7,0,8,0,8
X,4,9,7,7,6,8,7,3,6,7,4,6,5,5,8,7
X,4,10,7,7,4,7,8,4,9,6,5,5,4,10,8,6
N,3,6,5,4,3,7,8,6,5,7,7,6,5,9,1,6
D,4,6,5,4,4,10,5,3,6,10,3,7,3,7,3,8
F,5,9,5,5,3,6,12,3,3,11,6,4,4,10,7,6
E,6,9,5,5,3,7,8,4,4,11,6,8,3,9,8,9
C,3,7,4,5,3,5,8,6,6,8,8,14,2,9,4,10
X,6,10,7,6,4,10,6,3,7,12,2,6,3,8,4,10
N,1,0,1,1,1,7,7,10,0,6,6,8,4,8,0,8
O,6,10,8,8,6,8,5,9,4,6,5,5,5,7,4,8
C,7,13,5,7,2,6,9,6,8,11,8,9,2,8,5,9
U,9,11,10,8,4,4,8,6,10,13,11,9,3,9,1,7
D,5,10,7,7,5,8,7,7,9,6,5,4,3,8,4,7
C,4,8,4,6,2,4,8,6,7,11,10,12,2,9,3,7
